,index,ingredient_type
0,0,mezcal
1,1,syrup
2,2,citrus
3,3,mixer
4,4,gin
5,5,syrup
6,6,citrus
7,7,cold
8,8,wine
9,9,bitters
10,11,brandy
11,12,citrus
12,13,syrup
13,14,citrus
14,15,grain
15,16,brandy
16,17,wine
17,19,syrup
18,20,absinthe
19,21,liqueur
20,22,sour
21,23,brandy
22,24,liqueur
23,25,liqueur
24,26,herbal
25,27,gin
26,28,syrup
27,29,wine
28,30,citrus
29,31,absinthe
30,32,sugar
31,33,mixer
32,34,whiskey
33,35,citrus
34,36,liqueur
35,37,syrup
36,38,egg
37,39,vodka
38,40,liqueur
39,41,citrus
40,42,syrup
41,43,beer
42,44,cognac
43,45,liqueur
44,46,liqueur
45,47,citrus
46,48,champagne
47,49,liqueur
48,50,mixer
49,51,nut
50,52,cream
51,53,spice
52,54,tea
53,55,liqueur
54,56,citrus
55,57,syrup
56,58,bitters
57,59,mezcal
58,60,liqueur
59,61,liqueur
60,62,mixer
61,63,gin
62,64,citrus
63,65,fruit
64,66,herbal
65,67,citrus
66,68,mixer
67,69,liqueur
68,70,liqueur
69,71,herbal
70,72,citrus
71,73,mixer
72,74,gin
73,75,citrus
74,76,citrus
75,77,liqueur
76,78,liqueur
77,79,gin
78,80,fruit
79,81,citrus
80,82,spice
81,83,rum
82,84,rum
83,85,rum
84,86,liqueur
85,87,liqueur
86,88,cognac
87,89,citrus
88,90,syrup
89,91,herbal
90,92,liqueur
91,93,cold
92,94,citrus
93,95,gin
94,96,wine
95,97,citrus
96,98,spice
97,99,bitters
98,101,liqueur
99,102,liqueur
100,103,grain
101,104,citrus
102,105,rum
103,106,liqueur
104,107,liqueur
105,108,citrus
106,109,citrus
107,110,citrus
108,111,gin
109,112,citrus
110,113,herbal
111,114,syrup
112,115,cold
113,116,rum
114,117,liqueur
115,118,citrus
116,119,syrup
117,120,cold
118,121,liqueur
119,122,fruit
120,123,juice
121,124,whiskey
122,125,liqueur
123,126,syrup
124,127,bitters
125,128,whiskey
126,129,wine
127,130,liqueur
128,131,bitters
129,132,liqueur
130,133,citrus
131,134,citrus
132,135,syrup
133,136,spicy
134,137,liqueur
135,138,wine
136,139,nut
137,140,citrus
138,141,nut
139,142,cognac
140,144,fruit
141,145,citrus
142,146,citrus
143,147,gin
144,148,wine
145,149,liqueur
146,150,wine
147,151,liqueur
148,152,whiskey
149,153,citrus
150,154,citrus
151,155,egg
152,156,bitters
153,157,gin
154,158,vodka
155,159,vegetable
156,160,citrus
157,161,syrup
158,162,fruit
159,163,bitters
160,164,liqueur
161,165,citrus
162,166,syrup
163,167,liqueur
164,168,fruit
165,169,cream
166,170,syrup
167,171,gin
168,172,wine
169,173,liqueur
170,174,citrus
171,175,egg
172,176,syrup
173,177,whiskey
174,178,liqueur
175,179,fruit
176,180,citrus
177,181,bitters
178,182,fruit
179,183,brandy
180,184,citrus
181,185,citrus
182,186,syrup
183,187,liqueur
184,188,cream
185,189,fruit
186,190,syrup
187,191,gin
188,192,liqueur
189,193,wine
190,194,whiskey
191,195,wine
192,196,bitters
193,197,gin
194,198,fruit
195,199,liqueur
196,200,gin
197,201,wine
198,203,liqueur
199,204,gin
200,206,liqueur
201,207,whiskey
202,208,liqueur
203,209,syrup
204,210,bitters
205,211,absinthe
206,212,rum
207,213,citrus
208,214,cold
209,215,liqueur
210,216,absinthe
211,217,mezcal
212,218,liqueur
213,219,liqueur
214,220,citrus
215,221,cognac
216,222,liqueur
217,223,citrus
218,224,syrup
219,225,egg
220,226,cognac
221,227,whiskey
222,228,liqueur
223,229,citrus
224,230,bitters
225,231,rum
226,232,bitters
227,233,spice
228,234,rum
229,235,citrus
230,236,syrup
231,237,mixer
232,238,liqueur
233,239,gin
234,240,citrus
235,241,liqueur
236,242,liqueur
237,243,mixer
238,244,liqueur
239,245,liqueur
240,246,whiskey
241,247,citrus
242,248,gin
243,249,liqueur
244,250,citrus
245,251,syrup
246,252,mixer
247,253,whiskey
248,254,citrus
249,255,cold
250,256,mixer
251,257,spice
252,258,liqueur
253,259,spice
254,260,gin
255,261,mixer
256,263,brandy
257,264,citrus
258,265,bitters
259,266,spice
260,267,cream
261,268,champagne
262,269,cream
263,270,wine
264,271,liqueur
265,272,citrus
266,273,mixer
267,274,tea
268,275,gin
269,276,wine
270,277,citrus
271,278,mixer
272,279,liqueur
273,280,champagne
274,281,cognac
275,282,spice
276,283,citrus
277,284,syrup
278,285,liqueur
279,286,vegetable
280,287,herbal
281,288,herbal
282,289,vodka
283,290,citrus
284,291,spice
285,292,brandy
286,293,wine
287,294,tea
288,296,brandy
289,297,wine
