,recipe_id,quantity,unit,ingredient_name
0,0,1.5,oz,Mezcal
1,0,1,oz,Hibiscus Simple Syrup
2,0,.5,oz,Lime Juice
3,0,,,top Soda Water
4,1,2,oz,Junipero Gin
5,1,.75,oz,House-made Cranberry Syrup
6,1,.5,oz,Lemon Juice
7,1,.5,oz,Cranberry Juice
8,1,.25,oz,Lillet Blanc
9,1,4,dash,Forgery Earth Day Bitters
10,1,,,mist Laphroaig
11,2,1500,ml,BarSol Selecto Italia Pisco
12,2,750,ml,Lemon Juice
13,2,750,ml,Pineapple Gomme Syrup
14,2,.5,oz,Fee Bros Lemon Bitters
15,2,1,,float Old Vine Zin
16,3,1.5,oz,BarSol Primero Quebranta Pisco
17,3,.75,oz,Dry Vermouth
18,3,.5,oz,St. Germain
19,3,.25,oz,Pineapple Syrup
20,3,1,bsp,Vieux Pontarlier Absinthe Francaise Superieure
21,4,1.25,oz,Luxardo Maraschino Liqueur
22,4,4,drops,Acid phosphate
23,4,2,oz,BarSol Primero Quebranta Pisco
24,4,.75,oz,Luxardo Amaro Abano
25,4,.25,oz,Luxardo Fernet
26,4,3,dash,Scrappy's Aromatic Bitters
27,5,1,oz,Junipero Gin
28,5,1,oz,House-made Simple Syrup
29,5,1,oz,Manzanilla Sherry
30,5,.75,oz,Lemon Juice
31,5,2,dash,Absinthe
32,5,6-8,,Sugar Snap Peas
33,5,,,top Tonic
34,6,2,oz,Bourbon
35,6,1,oz,Fresh Lemon Juice
36,6,.5,oz,Luxardo Sangue Morlacco Cherry Liqueur
37,6,.5,oz,Small Hand Foods Pineapple Gum Syrup
38,6,.5,oz,Egg White
39,7,1.5,oz,Hophead Vodka
40,7,.5,oz,Ginger Liqueur
41,7,.75,oz,Lime Juice
42,7,.5,oz,Pure Cane Simple Syrup
43,7,2,count,Deschutes Fresh Squeezed IPA (from tap)
44,8,.75,oz,Cognac
45,8,.5,oz,Cointreau
46,8,.25,oz,Luxardo Maraschino Liqueur
47,8,.25,oz,Fresh Lemon Juice
48,8,3,oz,Champagne
49,9,1,oz,King's Ginger Liqueur
50,9,1.5,oz,Homemade milk chocolate
51,9,.75,oz,Hazelnut Cinnamon syrup
52,9,,,oz Marshmallow whip cream
53,9,,,oz Ginger snaps
54,10,1.5,oz,Jasmine Tea/Rice-Infused Junipero Gin
55,10,.75,oz,Leopold Bros. Sour Apple Liqueur
56,10,.75,oz,Lime
57,10,.5,oz,House-made Honey Syrup
58,10,.25,oz,Lo-Fi Gentian Amaro
59,11,1.5,oz,Mezcal
60,11,.25,oz,Luxardo Espresso Italian Liqueur
61,11,.75,oz,Luxardo Bitter Bianco
62,11,2,dash,Salted Chocolate Bitters
63,12,1.5,oz,Junipero Gin
64,12,.75,oz,Pineapple Juice
65,12,.5,oz,Monin Strawberry Puree
66,12,6-7,,Mint Leaves
67,12,.5,oz,Lemon Sour
68,12,1,oz,Lemon Lime Soda
69,13,.75,oz,Luxardo Maraschino Liqueur
70,13,.5,oz,Luxardo Sangue Morlacco Cherry Liqueur
71,13,1,,Basil Leaf
72,13,.25,oz,Lime Juice
73,13,5,dash,Rose Water
74,14,1.5,oz,Junipero Gin
75,14,1,oz,Lime Sour
76,14,.5,oz,Orange Juice
77,14,.25,oz,Dry Curacao
78,15,.75,oz,Luxardo Maraschino Liqueur
79,15,.5,oz,Junipero Gin
80,15,.75,oz,Monin Apple Puree
81,15,.25,oz,Lemon Juice
82,15,1,dash,Fennel Bitters
83,16,.75,oz,Banks 5 Rum
84,16,.75,oz,Denizen Aged White Rum 
85,16,.75,oz,Denizen Aged White Rum 
86,16,.75,oz,Luxardo Amaro Abano
87,17,1,oz,King's Ginger Liqueur
88,17,1,oz,H by HINE
89,17,.25,oz,Lemon juice
90,17,.25,oz,Simple syrup
91,17,2,dash,Fee Brothers Rhubard bitters
92,18,25,oz,King's Ginger Liqueur
93,18,37.5,oz,Cranberry Juice
94,18,37.5,oz,Fever-Tree Lemonade
95,19,.75,c,Junipero Gin
96,19,.75,c,C. Drouin Calvados Selection
97,19,.5,c,Lemon Juice
98,19,.5,c,Ginger-Vanilla Syrup
99,19,4,dash,Angostura Bitters
100,19,1,bottle,Sparkling Rose
101,20,1.5,oz,King's Ginger Liqueur
102,20,.5,oz,Luxardo Fernet
103,20,.25,oz,BenRiach Curiositas Single Malt 10 YO
104,20,.75,oz,Lemon Juice
105,21,1.5,oz,Pink Pigeon Rum
106,21,.5,oz,Luxardo Amaretto di Saschira
107,21,.5,oz,Osha Falernum
108,21,.5,oz,Lemon juice
109,21,1,oz,Pineapple juice
110,21,3,dash,Orange bitters
111,22,,,oz Junipero Gin
112,22,,,oz Lemon
113,22,,,oz Elder Flower Liquor
114,22,,,oz Honey Syrup
115,22,,,oz Carrot Juice
116,23,1.5,oz,Pink Pigeon Rum
117,23,.5,oz,Luxardo Maraschino Liqueur
118,23,.75,oz,Fresh Lime Juice
119,23,.5,oz,Simple Syrup
120,23,.5,oz,Fresh Grapefruit Juice
121,24,1,oz,King's Ginger Liqueur
122,24,.25,oz,Briottet Creme de Mure (Blackberry)
123,24,,,top Pear Cider
124,25,2,oz,Glenrothes Vintage Reserve
125,25,1,oz,King's Ginger Liqueur
126,25,.25,oz,Honey Syrup
127,25,1,dash,Angostura Bitters
128,26,2,oz,Single Malt Scotch
129,26,.25,oz,Dry Vermouth
130,26,.25,oz,Luxardo Maraschino Liqueur
131,26,2,dash,Angostura Bitters
132,27,1,oz,Luxardo Aperitivo
133,27,.5,oz,Lemon Juice
134,27,.5,oz,Orange Juice
135,27,.5,oz,Simple Syrup
136,27,,,top Anchor California Lager
137,28,1.5,oz,Luxardo Bitter Bianco
138,28,1,oz,Junmai Sake
139,28,.25,oz,Coconut Rum
140,28,1,dash,Orange Bitters
141,28,1,dash,Coconut Vinegar
142,29,1.5,oz,H by HINE
143,29,.5,oz,Dubonnet Rouge
144,29,.5,oz,Cherry Herring
145,29,.375,oz,Blood Orange Juice
146,29,.375,oz,Lemon Juice
147,30,1.5,oz,Old Tom Gin
148,30,1.5,oz,Tempus Fugit Alessio Vermouth di Torino Rosso
149,30,.25,oz,Luxardo Maraschino Liqueur
150,30,2,dash,Tempus Fugit Abbott's Bitters
151,31,1.5,oz,Luxardo Amaretto di Saschira
152,31,.5,oz,Bourbon
153,31,.5,oz,Fresh Lime Juice
154,31,.75,oz,Pineapple Juice
155,31,.75,oz,Fresh Egg White
156,31,2,dash,Angostura Bitters
157,32,1,oz,Broker's Gin
158,32,1,oz,Karlsson's Gold Vodka
159,32,2,oz,Celery Root Puree
160,32,.5,oz,Fresh Lemon Juice
161,32,.75,oz,Simple Syrup
162,32,3,dash,Apple Bitters
163,32,1,dash,Angostura Bitters
