decorationId,recipeId,garnishId
0,0,2
1,1,307
2,6,192
3,7,17
4,8,293
5,9,109
6,10,108
7,11,84
8,12,240
9,13,57
10,14,259
11,15,101
12,16,293
13,17,285
14,18,188
15,19,180
16,20,196
17,21,65
18,22,290
19,23,101
20,24,50
21,25,54
22,26,101
23,27,120
24,28,89
25,29,271
26,30,278
27,31,271
28,32,224
29,33,101
30,34,167
31,35,162
32,36,88
33,37,101
34,38,173
35,39,242
36,40,101
37,41,28
38,42,194
39,43,303
40,44,101
41,47,83
42,48,167
43,49,113
44,50,296
45,51,188
46,52,48
47,53,36
48,55,311
49,56,273
50,59,273
51,60,293
52,61,101
53,62,46
54,63,296
55,64,278
56,65,278
57,66,31
58,67,181
59,68,186
60,70,283
61,71,62
62,72,125
63,73,78
64,74,190
65,75,102
66,77,288
67,78,188
68,80,19
69,81,278
70,82,93
71,83,293
72,84,293
73,85,188
74,86,15
75,87,41
76,89,293
77,90,14
78,91,134
79,92,159
80,93,196
81,94,101
82,95,304
83,96,120
84,97,157
85,98,69
86,100,101
87,101,286
88,102,101
89,103,283
90,104,107
91,105,308
92,106,114
93,107,61
94,108,48
95,109,101
96,110,21
97,111,278
98,112,229
99,113,225
100,114,72
101,116,278
102,118,26
103,119,196
104,120,101
105,121,196
106,122,163
107,123,230
108,124,208
109,125,140
110,126,171
111,129,188
112,131,4
113,132,167
114,133,300
115,134,101
116,136,233
117,137,48
118,138,22
119,139,255
120,140,107
121,141,278
122,142,312
123,143,227
124,144,165
125,145,293
126,146,316
127,147,121
128,148,193
129,149,304
130,150,16
131,151,107
132,152,293
133,153,186
134,154,196
135,155,63
136,156,27
137,157,188
138,158,48
139,159,196
140,160,106
141,161,233
142,162,273
143,164,120
144,166,278
145,167,105
146,168,17
147,169,107
148,170,48
149,171,293
150,172,251
151,175,278
152,176,156
153,178,278
154,179,106
155,180,232
156,181,130
157,182,66
158,183,87
159,184,222
160,185,65
161,187,155
162,189,273
163,193,196
164,195,186
165,196,117
166,197,226
167,198,196
168,199,101
169,200,107
170,201,32
171,203,282
172,206,278
173,208,65
174,209,238
175,210,196
176,211,129
177,212,55
178,213,145
179,214,125
180,216,101
181,217,48
182,218,185
183,219,188
184,222,198
185,223,119
186,224,139
187,226,249
188,227,309
189,228,92
190,229,205
191,230,285
192,231,293
193,233,111
194,234,151
195,236,186
196,237,158
197,239,137
198,241,215
199,242,51
200,243,297
201,244,284
202,245,253
203,246,186
204,247,101
205,248,52
206,249,285
207,250,164
208,251,97
209,252,196
210,253,30
211,254,101
212,256,293
213,257,164
214,258,124
215,259,39
216,260,285
217,261,153
218,262,48
219,263,88
220,264,101
221,265,290
222,266,293
223,268,233
224,269,150
225,270,243
226,272,167
227,274,167
228,277,293
229,278,260
230,279,233
231,281,283
232,286,48
233,287,133
234,288,278
235,289,75
236,291,214
237,293,113
238,294,101
239,295,301
240,297,141
241,299,101
242,302,111
243,303,111
244,305,56
245,307,59
246,309,108
247,310,262
248,311,70
249,314,77
250,315,160
251,316,85
252,318,101
253,319,259
254,320,33
255,321,254
256,322,3
257,324,76
258,325,101
259,326,281
260,327,279
261,328,46
262,329,223
263,330,24
264,331,138
265,334,273
266,335,272
267,336,267
268,337,196
269,338,278
270,339,105
271,340,48
272,343,148
273,344,101
274,345,167
275,346,273
276,347,168
277,348,278
278,349,15
279,351,291
280,352,17
281,353,293
282,354,280
283,355,12
284,356,48
285,358,169
286,359,196
287,360,82
288,361,99
289,362,48
290,365,217
291,368,53
292,369,101
293,370,310
294,375,3
295,376,88
296,377,196
297,378,236
298,379,184
299,381,3
300,382,101
301,383,188
302,385,125
303,386,155
304,387,38
305,388,293
306,392,20
307,393,101
308,397,273
309,398,188
310,400,48
311,401,126
312,402,167
313,403,128
314,404,161
315,406,275
316,407,147
317,408,289
318,409,13
319,411,265
320,413,174
321,414,46
322,415,231
323,416,96
324,417,176
325,418,107
326,419,203
327,420,93
328,421,304
329,422,218
330,424,48
331,425,42
332,426,292
333,427,101
334,428,101
335,429,218
336,431,26
337,432,170
338,433,167
339,434,278
340,437,188
341,438,193
342,439,274
343,440,299
344,441,246
345,442,101
346,443,144
347,445,167
348,446,123
349,447,273
350,449,127
351,450,273
352,451,38
353,452,246
354,454,146
355,455,88
356,456,204
357,458,45
358,460,285
359,461,48
360,462,196
361,463,181
362,464,293
363,465,234
364,466,168
365,467,221
366,468,58
367,469,293
368,471,55
369,472,212
370,473,188
371,474,187
372,475,131
373,476,175
374,477,233
375,478,8
376,479,101
377,486,101
378,487,101
379,489,201
380,490,88
381,491,115
382,492,145
383,494,112
384,495,125
385,496,233
386,497,233
387,500,189
388,502,3
389,503,233
390,504,246
391,505,26
392,506,55
393,507,101
394,509,196
395,510,273
396,512,280
397,514,196
398,515,196
399,516,273
400,517,48
401,518,167
402,520,167
403,521,196
404,522,166
405,523,293
406,524,5
407,525,48
408,526,273
409,527,261
410,528,134
411,529,186
412,530,141
413,532,273
414,533,258
415,534,268
416,535,230
417,536,216
418,537,100
419,538,179
420,539,47
421,540,177
422,543,188
423,544,293
424,545,244
425,546,246
426,547,269
427,549,210
428,552,48
429,553,306
430,554,285
431,555,209
432,556,48
433,558,293
434,559,3
435,562,196
436,563,48
437,564,293
438,566,276
439,567,248
440,568,293
441,569,94
442,570,266
443,571,3
444,572,278
445,573,101
446,574,196
447,575,293
448,576,196
449,577,22
450,578,49
451,580,101
452,581,315
453,582,212
454,583,65
455,585,3
456,586,37
457,587,101
458,588,257
459,589,257
460,590,182
461,593,196
462,594,29
463,595,287
464,596,313
465,597,3
466,598,35
467,599,293
468,601,220
469,602,125
470,603,125
471,604,278
472,605,98
473,606,278
474,607,250
475,608,155
476,610,149
477,611,106
478,612,272
479,613,196
480,614,48
481,615,101
482,617,22
483,618,272
484,619,43
485,620,196
486,621,196
487,623,48
488,624,233
489,625,278
490,626,285
491,627,237
492,628,188
493,629,110
494,630,125
495,631,103
496,632,106
497,633,107
498,635,247
499,636,167
500,637,302
501,639,90
502,640,293
503,642,91
504,643,207
505,650,101
506,651,55
507,652,256
508,653,305
509,654,230
510,659,278
511,660,125
512,666,142
513,668,116
514,670,125
515,671,272
516,672,68
517,673,74
518,674,230
519,677,107
520,678,88
521,680,199
522,684,108
523,1,44
524,12,118
525,13,118
526,14,277
527,18,39
528,19,241
529,21,64
530,24,73
531,29,196
532,31,136
533,34,211
534,37,309
535,44,278
536,50,285
537,52,143
538,53,80
539,62,156
540,70,213
541,73,195
542,78,39
543,85,81
544,87,273
545,91,101
546,92,101
547,97,22
548,98,25
549,104,245
550,112,80
551,113,22
552,114,188
553,118,228
554,119,172
555,125,208
556,131,107
557,138,60
558,142,23
559,146,86
560,147,278
561,149,101
562,151,245
563,156,294
564,157,167
565,168,280
566,184,233
567,187,298
568,200,71
569,206,1
570,213,293
571,219,40
572,223,101
573,227,310
574,228,191
575,230,314
576,231,65
577,233,167
578,249,3
579,250,72
580,254,0
581,257,72
582,266,101
583,269,132
584,281,22
585,286,101
586,291,88
587,302,17
588,303,17
589,305,6
590,307,158
591,311,7
592,316,263
593,324,3
594,325,304
595,329,233
596,343,206
597,344,181
598,362,101
599,369,302
600,370,273
601,386,121
602,388,101
603,408,79
604,419,253
605,420,101
606,432,206
607,433,219
608,437,101
609,439,101
610,442,106
611,458,67
612,461,101
613,462,278
614,463,194
615,466,270
616,469,233
617,473,11
618,477,252
619,496,10
620,497,10
621,503,167
622,520,271
623,525,239
624,534,18
625,544,101
626,549,223
627,553,200
628,562,278
629,569,3
630,578,147
631,583,197
632,619,122
633,628,167
634,630,29
635,635,295
636,636,41
637,642,233
638,651,183
639,659,17
640,672,264
641,673,135
642,677,71
643,678,108
644,684,202
645,19,95
646,98,273
647,113,235
648,142,9
649,157,34
650,184,178
651,227,65
652,233,22
653,324,104
654,343,154
655,386,152
656,642,5
