recipeId,cocktailId,bartender,company,location,glasswareId,instruction,votes,rating
0,432,Kelly McCarthy,,Boston,0,"*Hibiscus Simple Syrup:
1:1 w/ a cup of dried hibiscus steeping for 30-40 min",0,0
1,31,Elizabeth Montana,Forgery & Verso,San Francisco,0,"*House-made Cranberry syrup: 
-- 2 cups Fresh Cranberries
-- 1 cup Sugar
-- 1 cup Water
-- 2 Bay Leaves
-- .25 cup Pink Peppercorns
-- Half Serrano Chile
-- 4 Sprigs Fresh Rosemary

Add all ingredients to a pot and heat thoroughly. Simmer on low until cranberries cook down for 25 minutes. Strain and let cool.",0,0
2,120,Jon Morales,,San Francisco,29,"*Pineapple Gomme: 
Mix equal parts (1.5 cups) gum arabic with water over high heat until it all mixes and then let cool for a bit. Then you're gonna make a sugar syrup with 2 parts sugar, 1 part water (4 cups water, 2 cups white granulated sugar) in the same manner over high heat until it mixes, and then add the gum syrup to the mix until everything dissolves and what you're left with is a thick gummy syrup that resembles a whole lot of baby batter. Then cut up 1.5 cups of pineapple chunks, put in mason jar, and pour the gum syrup over it and let it sit in the refrigerator over night. A few hours would work also if you don't have that much time. However, the more time, the more pineapple infusion takes place. When it's ready, strain into another mason jar or bottle, and it's ready to go.",0,0
3,528,Daniel Braganca,Backbar,Somerville,0,"*Pineapple Syrup:
<em>Equal parts pineapple blended with water and sugar and strained</em>",0,0
4,532,Nik Virrey,,Seattle,0,"1st glass ingredients:
Luxardo Maraschino, Acid Phosphate

2nd glass ingredients:
BarSol Quebranta Pisco, Luxardo Amaro Abano, Luxardo Fernet, Scrappy's Aromatic Bitters",0,0
5,584,Kevin Diedrich,Pacific Cocktail Haven,San Francisco,27,"Add 6-8 sugar snap peas to cocktail shaker. Lightly muddle the peas. Add all other ingredients except for the tonic. Shake and double strain into a collins glass. Top with tonic. 

*House-made Simple Syrup: 
-- 1 cup Sugar
-- 1 cup Water

Add equal parts sugar and water into a small saucepan, bring to a boil; simmer until the sugar is dissolved, approximately 3 minutes. Remove from heat, let cool to room temperature and transfer to a clean glass jar. Cover and keep refrigerated for up to 2 weeks.",0,0
6,538,Phillip Ricafort,American Oak,Alameda,16,"Add all ingredients and dry-shake (without ice), then add ice, and shake again. Strain into coupe and garnish with rhubarb bitters.",0,0
7,7,Jon Ruiz,AMK Kitchen Bar,Chicago,5,"Add all ingredients except beer into shaker tin, shake vigorously for 10 seconds. Add beer in shaker tin then double strain into tin cup. Add mint for garish.",0,0
8,32,Dale DeGroff,,,39,"Add all ingredients except the champagne to a mixing glass and fill with ice. Stir, and strain into a martini glass. Fill with champagne and garnish with a flamed orange peel.",0,0
9,162,Ian Julian,,New Orleans,43,Add all ingredients except the whip cream and ginger snap. Shake and double into a rocks glass with no ice. Top with marshmallow whip cream. Garnish with Ginger snap crumbles.,0,0
10,246,Danny Louie,Mister Jiu's,San Francisco,16,"Add all ingredients in a cocktail shaker, shake, fine strain into a chilled coupe or martini glass. Garnish with edible flower.

*Jasmine Tea/Rice-Infused Junipero Gin:
-- 1 bottle (750ml) Junípero gin
-- .5 cup Jasmine Tea
-- .5 cup Jasmine Rice (wash rice to eliminate starch)

Sous Vide Version: Wash the jasmine rice to clean out the starch. Fill container with hot water. Set sous vide at 52c. Add vacuum seal bag with jasmine tea/rice in bath. Let sit in bath for 45 minutes. Take the bag out of bath and sit it in ice bath for 15 minutes. Open bag and fine strain back into bottle.

Infusion Version: Wash the jasmine rice to clean out the starch. In a cambro/mason jar, add Junípero gin and jasmine tea and rice. Let infuse for 24 hours. Fine strain into bottle.

**House-made Honey Syrup: 

Put equal parts of honey (10 oz) and water (10 oz) in a saucepan. Boil, then turn down to a simmer and stir until the honey is completely dissolved.",0,0
11,119,Ken Luciano,The Forgery,San Francisco,65,Add all ingredients in a mixing glass and stir with ice. Strain into a Nick & Nora coupe. Garnish with a ghost orange twist.,0,0
12,110,Caterina Miltenberger,,,65,Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with lime pinwheel and bing cherry.,0,0
13,161,Caterina Miltenberger,,,65,"Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with lime pinwheel and bing cherry.
",0,0
14,560,Caterina Miltenberger,,,65,Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with orange slice and 1 bar spoon juniper berries.,0,0
15,74,Caterina Miltenberger,,,0,Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain over fresh ice. Garnish with Luxardo Cherry.,0,0
16,209,Jose Pereiro,Drift Fish House & Oyster Bar,Atlanta,53,"Add all ingredients in mixing glass, stir and strain over 2x2 ice cube in smoked glass on hickory board. Garnish with orange peel and clothes pin.",0,0
17,362,,,,0,Add all ingredients into a cocktail shaker. Shake and double strain into a glass. Garnish with a sprig of mint.,0,0
18,328,,,,29,Add all ingredients into a punch bowl or pitcher and stir. Add lemon wheels and strawberries to garnish.,0,0
19,347,Kevin Diedrich,,,43,Add all ingredients into a punch bowl. Serve in small rocks glasses.,0,0
20,271,Matt Grippo,Blackbird,San Francisco,16,"Add all ingredients into a shaker with ice, shake furiously. Fine strain into chilled coupe. Garnish with a lemon twist.",0,0
21,66,Kate KaiKaew,Osha,San Francisco,43,Add all ingredients into a shaker with ice. Shake. Strain over fresh ice into a rocks glass. Garnish with star anise and two slices lemongrass.,0,0
22,421,Elmer Mejicano,Tony's Pizza Napoletana,San Francisco,27,"Add all ingredients into a shaker, shake strain into a collins glass, fill with crushed ice, garnish with mint leaves.",0,0
23,165,Kate Grutman,,,16,"Add all ingredients into shaking tin. Add ice cubes to tin. Shake vigorously and strain into coupe. Garnish with Luxardo Maraschino Cherry.
",0,0
24,478,,,,0,Add all ingredients over ice. Stir with a barspoon. Squeeze lemon wedges and add blackberries.,0,0
25,512,,,,15,"Add all ingredients to a mixing glass and stir for 15-20 seconds. Strain into a highball filled with fresh ice.
",0,0
26,392,,,,16,Add all ingredients to a mixing glass filled with ice. Stir until cold and strain into a chilled coupe.,0,0
27,90,Naomi Levy,Eastern Standard,Boston,15,Add all ingredients to a mixing glass. Add ice and integration shake. Pour over fresh ice into a highball and top with California Lager. Garnish with a half orange wheel.,0,0
28,561,Chris Morris,,Houston,65,Add all ingredients to a mixing glass. Stir until thoroughly chilled (~30 seconds). Strain into a chilled cocktail glass. Serve with one big rock. Garnish with an expressed orange swath.,0,0
29,476,Toby Cecchini,,,46,Add all ingredients to a shaker and fill with ice. Shake vigorously and strain into chilled stemmed cordial glass. Garnish with cocktail cherry and lemon twist.,0,0
30,196,,,,16,"Add all ingredients to a shaker and fill with ice. Shake, and strain into a chilled coupe glass.",0,0
31,615,Scott Baird,The Bon Vivants,San Francisco,16,Add all ingredients to a shaker and shake well without ice to emulsify the egg white. Add ice and shake hard until the drink is chilled. Strain through a fine-mesh strainer into a chilled coupe and garnish.,0,0
32,228,Calvin Marty,Best Intentions,Chicago,36,"Add all ingredients to a shaker and shake with ice, then double strain into a cocktail glass. Garnish with a celery leaf.",0,0
33,146,,,,39,"Add all ingredients to a shaker, add ice, shake and strain into a martini glass garnish with a Luxardo Cherry.",0,0
34,124,Luis Hernandez,White Oak Tavern,New York,0,Add all ingredients to blender and blend throughly. Double strain into a glass with cracked ice garnish with a mint sprig and fresh grated nutmeg.,0,0
35,277,Matt Grippo,Blackbird,San Francisco,36,"Add all ingredients to tin and dry shake. Add ice and vigorously shake for 12 seconds. Fine strain into chilled cocktail glass. Garnish by sprinkling matcha powder (.25 tsp). 

*Rich Simple Syrup: 
-- 2 cups Granulated Sugar
-- 1 cup Water

Combine sugar and water in a small saucepan over medium heat and stir until sugar dissolves. Remove from heat, let cool to room temperature and transfer to a clean glass jar. Cover and keep refrigerated for up to 2 weeks.",0,0
36,355,David Ruiz,Padrecito,San Francisco,0,Add all ingredients together.,0,0
37,294,,,,20,Add all liquid ingredients into a cocktail shaker with ice. Shake well and strain into an ice filled white wine glass. Garnish by adding pineapple chunks and Luxardo Cherry.,0,0
38,498,Paul Sauter,Tippling Hall,Chicago,27,"Add all of the ingredients, except seeds, to a shaker with ice and shake well. Double strain onto fresh ice into a collins glass. Garnish with 1 spoon of passion fruit seeds.

*Pilon Syrup:
Homemade 50/50 simple syrup using Pilon Sugar made from Mexican Sugar Cane.",0,0
39,95,Tony Abou-Ganim,,,36,Add all the ingredients to a mixing glass and fill with ice. Stir until well chilled and strain into a chilled cocktail glass. Garnish with a flamed orange twist.,0,0
40,402,,,,0,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a chilled cocktail glass. Garnish with a Luxardo Cherry.",0,0
41,458,Jay Zimmerman,,,36,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a cocktail glass. Garnish with a slice of orange peel.",0,0
42,201,Brian Miller,,,39,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a martini glass. Garnish with an apple slice.",0,0
43,573,Franky Marshall,,,20,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into a small wine or cocktail glass. Twist a slice of lemon peel over the drink and use as garnish.",0,0
44,668,Jared Schubert,,,57,"Add all the ingredients to a mixing glass and fill with ice. Stir, and strain into an old fashioned glass filled with fresh ice. Garnish with a Luxardo Cherry and an orange slice or twist.",0,0
45,574,Jim Meehan,,,16,"Add all the ingredients to a shaker and fill with ice. Shake, and strain into a chilled coupe glass filled with crushed ice.",0,0
46,676,Phil Ward,,,16,"Add all the ingredients to a shaker and fill with ice. Shake, and strain into a coupe glass.

*Pineapple-Infused Mezcal:
Peel, core and chop a whole pineapple into 1-inch cubes. Add to a large jar or other container with a lid, and add a 750-mL bottle of mezcal. Let stand for 5 days and strain before using.",0,0
47,154,David Ruiz,Harper & Rye,San Francisco,16,"Add cognac, amaro, lemon, strawberry syrup and fresh cracked egg white of a whole egg to tin. Dry shake without ice approx. 5 seconds to emulsify. Add ice and shake hard again approx. 10 seconds. Fine strain into coupe. Crack drag black pepper over surface. Serve and enjoy.

*Strawberry syrup- 1 cup fresh strawberries 1 cup water 1cup sugar. Blend in vitamix then heat on stove and stir until hot to bind sugars, don't boil. Bottle and refrigerate.",0,0
48,223,Matthew Polzin,The Olde Bar,Philadelphia,43,"Add cognac, rye, Chartreuse and bitters to a mixing glass with ice, and stir until cold. Add splash of fernet to a rocks glass, roll the glass to coat the sides, and discard the excess. Add one large ice cube to the glass, strain the drink over the cube, and garnish with a mint sprig.",0,0
49,468,Ryan Chetiyawardana,,,15,"Add cubed ice to a highball, add 2 dashes of Angostura Bitters, top with ginger beer, garnish with a sprig of basil.",0,0
50,230,,,,0,Add first three ingredients to a mixing glass with shaker and lightly shake with ice. Pour mixture into a Collins or highball glass over ice. Top with Mexican Coke (or any coca cola as a substitute) and pour Luxardo Fernet on top to float. Garnish with a lime wheel and fresh mint sprig.,0,0
51,511,,,,27,"Add gin, lemon juice, maraschino liqueur, and liqueur de violette to a collins glass filled with ice. Add tonic water; stir to combine. Garnish with a lemon wheel.",0,0
52,652,Caterina Miltenberger,,,0,"Add ingredients in a mixing glass with fresh ice. Shake vigorously strain over fresh ice. Garnish with lemon peel to fit in glass and 1 dash of Abbott's Aromatic Bitters. Optional sugar rim.
",0,0
53,265,,,,27,"Add ingredients to a mixing glass except club soda. Shake over ice, strain over ice into a collins glass, top with club soda. Garnish with a lemon wedge and candied ginger on a pick.",0,0
