compositionId,recipeId,quantity,unit,ingredientId
0,0,1.5,oz,280
1,0,1,oz,683
2,0,.5,oz,275
3,0,,,1040
4,1,2,oz,668
5,1,.75,oz,320
6,1,.5,oz,950
7,1,.5,oz,34
8,1,.25,oz,641
9,1,4,dash,176
10,1,,,403
11,2,1500,ml,250
12,2,750,ml,950
13,2,750,ml,574
14,2,.5,oz,13
15,2,1,,507
16,3,1.5,oz,12
17,3,.75,oz,844
18,3,.5,oz,583
19,3,.25,oz,1220
20,3,1,bsp,111
21,4,1.25,oz,371
22,4,4,drops,968
23,4,2,oz,12
24,4,.75,oz,40
25,4,.25,oz,285
26,4,3,dash,193
27,5,1,oz,668
28,5,1,oz,985
29,5,1,oz,1165
30,5,.75,oz,950
31,5,2,dash,1033
32,5,6-8,,1002
33,5,,,1080
34,6,2,oz,1201
35,6,1,oz,231
36,6,.5,oz,222
37,6,.5,oz,1203
38,6,.5,oz,864
39,7,1.5,oz,526
40,7,.5,oz,802
41,7,.75,oz,275
42,7,.5,oz,42
43,7,2,count,786
44,8,.75,oz,916
45,8,.5,oz,559
46,8,.25,oz,371
47,8,.25,oz,231
48,8,3,oz,763
49,9,1,oz,785
50,9,1.5,oz,699
51,9,.75,oz,32
52,9,,,907
53,9,,,852
54,10,1.5,oz,741
55,10,.75,oz,119
56,10,.75,oz,1020
57,10,.5,oz,682
58,10,.25,oz,818
59,11,1.5,oz,280
60,11,.25,oz,608
61,11,.75,oz,983
62,11,2,dash,1199
63,12,1.5,oz,668
64,12,.75,oz,15
65,12,.5,oz,1036
66,12,6-7,,1113
67,12,.5,oz,867
68,12,1,oz,647
69,13,.75,oz,371
70,13,.5,oz,222
71,13,1,,318
72,13,.25,oz,275
73,13,5,dash,107
74,14,1.5,oz,668
75,14,1,oz,1157
76,14,.5,oz,304
77,14,.25,oz,630
78,15,.75,oz,371
79,15,.5,oz,668
80,15,.75,oz,254
81,15,.25,oz,950
82,15,1,dash,124
83,16,.75,oz,976
84,16,.75,oz,725
85,16,.75,oz,725
86,16,.75,oz,40
87,17,1,oz,785
88,17,1,oz,546
89,17,.25,oz,440
90,17,.25,oz,504
91,17,2,dash,599
92,18,25,oz,785
93,18,37.5,oz,34
94,18,37.5,oz,249
95,19,.75,c,668
96,19,.75,c,1013
97,19,.5,c,950
98,19,.5,c,659
99,19,4,dash,791
100,19,1,bottle,201
101,20,1.5,oz,785
102,20,.5,oz,285
103,20,.25,oz,171
104,20,.75,oz,950
105,21,1.5,oz,100
106,21,.5,oz,609
107,21,.5,oz,573
108,21,.5,oz,440
109,21,1,oz,1095
110,21,3,dash,276
111,22,,,959
112,22,,,387
113,22,,,405
114,22,,,930
115,22,,,913
116,23,1.5,oz,100
117,23,.5,oz,371
118,23,.75,oz,286
119,23,.5,oz,229
120,23,.5,oz,1127
121,24,1,oz,785
122,24,.25,oz,127
123,24,,,49
124,25,2,oz,461
125,25,1,oz,785
126,25,.25,oz,97
127,25,1,dash,791
128,26,2,oz,944
129,26,.25,oz,844
130,26,.25,oz,371
131,26,2,dash,791
132,27,1,oz,868
133,27,.5,oz,950
134,27,.5,oz,304
135,27,.5,oz,229
136,27,,,140
137,28,1.5,oz,983
138,28,1,oz,375
139,28,.25,oz,348
140,28,1,dash,597
141,28,1,dash,227
142,29,1.5,oz,546
143,29,.5,oz,662
144,29,.5,oz,514
145,29,.375,oz,632
146,29,.375,oz,950
147,30,1.5,oz,221
148,30,1.5,oz,858
149,30,.25,oz,371
150,30,2,dash,1014
151,31,1.5,oz,609
152,31,.5,oz,1201
153,31,.5,oz,535
154,31,.75,oz,15
155,31,.75,oz,1110
156,31,2,dash,791
157,32,1,oz,52
158,32,1,oz,839
159,32,2,oz,2
160,32,.5,oz,231
161,32,.75,oz,229
162,32,3,dash,1185
163,32,1,dash,791
164,33,2,oz,785
165,33,.75,oz,950
166,33,.75,oz,229
167,34,2,oz,133
168,34,1.5,oz,993
169,34,1,oz,63
170,34,.25,oz,553
171,35,.75,oz,668
172,35,.75,oz,9
173,35,.75,oz,983
174,35,.75,oz,950
175,35,.75,oz,738
176,35,.5,oz,154
177,36,1,oz,825
178,36,.5,oz,785
179,36,.5,oz,814
180,36,.75,oz,1020
181,36,1,dash,791
182,36,1,dash,1198
183,37,2,oz,250
184,37,2,oz,15
185,37,1,oz,286
186,37,1,oz,229
187,38,2,oz,133
188,38,1.5,oz,1029
189,38,1,oz,116
190,38,.5,oz,189
191,39,1,oz,668
192,39,1,oz,971
193,39,1,oz,858
194,40,2,oz,461
195,40,.75,oz,858
196,40,3,dash,791
197,41,1,oz,431
198,41,1,oz,153
199,41,1,oz,854
200,42,2,oz,658
201,42,.75,oz,516
202,42,.75,oz,662
203,42,.25,oz,371
204,43,1.5,oz,658
205,43,1.5,oz,1111
206,43,.5,oz,371
207,44,2,oz,1201
208,44,.25,oz,371
209,44,.5,oz,229
210,44,1,dash,791
211,44,1,dash,111
212,45,2,oz,56
213,45,.75,oz,286
214,45,.5,oz,1127
215,45,.5,oz,371
