garnishId,garnishName
0,Lemon Spiral
1,Grated Nutmeg
2,Marigold Petals
3,Lemon peel
4,Shaved Cinnamon
5,Grapefruit Slice
6,Thyme sprig
7,Pansy Petal
8,Physalis(aka goose berry)
9,Lemons and Oranges
10,Fresh Lemon Zest
11,Flowers
12,Orange wheel
13,Cucumber Slice
14,Cola candied orange peel
15,Lime Squeeze
16,Edible Flower Petal
17,Mint
18,Salt & Chile Pepper Rim*
19,Pickled Strawberry or Fresh Strawberry
20,Orange Oil
21,Rhubarb Stalk
22,Lemon Zest
23,Jalapeños
24,Orange slice
25,Small Flowers
26,Sage Leaf
27,Orange wheels studded with cloves
28,Orange Peel Slice
29,Thyme
30,Fresh Cinnamon (Grated)
31,Parasol
32,King's Ginger-Infused Apple Wheels
33,Red Delicious Apple Slice
34,Blackberry
35,Lemon Peel Oils
36,Lemon wedge
37,Dukes Orange Twist
38,Basil
39,Strawberry
40,Sliver of Cinnamon-Candied Ginger
41,Pineapple Wedge
42,Cinnamon sugar rim
43,Fukujinzuke Spray
44,Sprig of Rosemary
45,Basil Flower
46,Fresh mint sprig
47,Thyme Sprig
48,Lemon Peel
49,Orange zest
50,3 Lemon Wedges
51,Young Australian Candied Ginger
52,Apple slices (sliced very thin)
53,Cardamom
54,Flamed Lemon Peel
55,Cinnamon
56,Burnt orange
57,Lime Floral
58,Fresh Pineapple Wedge
59,Tarragon Sprig
60,Yerba Mate Tea Sachet
61,Fresh Grapefruit Peel
62,Fresh Fennel Flowers
63,Pear Slice
64,Lemongrass Slices
65,Star Anise
66,Sliced Almonds
67,Lime Flower
68,Salt
69,Cinnamon Quill
70,Kumquats Skewer
71,grated
72,Ginger
73,3 Blackberries
74,Salt Rim
75,Cocoa bean
76,Concord grapes
77,Whole Star Anise
78,Seasonal Fruit
79,Stuffed Castelvetrano Olive
80,Candied ginger
81,Dried Fig
82,Fresh lychee
83,Black Pepper
84,Ghost Orange Twist
85,Cinnamon stick
86,Dukes Grapefruit Zest
87,Fuji Apple Slice 
88,Basil Leaf
89,Expressed Orange Swath
90,Lemon wheels(floating garnish)
91,Fresh Pineapple Chunks
92,Strawberries
93,Lime Wedge
94,Star anise
95,Apple slices
96,Blackberry or Mint
97,Cucumber slices
98,Orange Twist and Discard
99,Blood orange wheel
100,Candied Thyme
101,Luxardo Cherry
102,Top with brine foam (optional)
103,Fresh lemon verbena sprig
104,twisted
105,Flamed Orange Peel
106,Grapefruit Peel
107,Nutmeg
108,Edible Flower
109,Ginger snap crumbles
110,Cilantro
111,Raspberry
112,Candied Ginger
113,Basil Sprig
114,Duke's lemon
115,Toasted Marshmallow
116,Lime or Lemon Wedge
117,Sweet Paprika
118,Bing Cherry
119,Fresh Ginger Slice
120,Half Orange Wheel
121,Cinnamon Stick
122,Lemon Expression
123,Pink Bendy Straw
124,Marigold Flower
125,Grapefruit Twist
126,Lemon Wheel with Umbrella
127,Salted Pistachio
128,Lemon Verbena Leaf
129,Jalapeño slice
130,Candied Blood Orange Wheel**
131,Fresh pear
132,2 Cherries
133,Candied Pineapple Wheel
134,Lime Twist
135,Grapefruit
136,Freshly Grated Cinnamon
137,Licorice root
138,Orange wedge
139,Apricot slices
140,Lemon Wheels
141,Cucumber slice
142,Fresh Peach Slice
143,Abbott's Aromatic Bitters
144,Orange Skin
145,Mint Leaf
146,Lemon Peel (Bitter Covered)
147,Lemon zest
148,Watermelon Wedge
149,Lemon Sugar Rim
150,6 Muddled (pitted) Cherries
151,Chrusciki Cookie**
152,Fresh Blackberries
153,Sprig of mint
154,Maldon Sea Salt
155,Lemon
156,Cucumber wheel
157,Superfine White Sugar
158,Roasted Cherry
159,Orange
160,Candied Ginger Stick
161,Orange Horse-neck Peel
162,Matcha Powder
163,Picked Cucumber Ribbon
164,Pink Grapefruit wedge
165,apple spheres
166,Lime Peel Twist
167,Mint Sprig
168,Fresh English Mint
169,3 Raspberries
170,Grapefruit Zest
171,Fresh Basil Leaves
172,Edible Flower 
173,Passion Fruit Seeds
174,Fresh Grapefruit Slice
175,Lemon verbena sprig
176,Lavendar Blossom
177,Apple Fan
178,Edible Orchid
179,Macadamia nut
180,Cinnamon sticks
181,Lemon Slice
182,Black olive
183,Cinnamon Raisin Bagel Chip
184,Lemon Pigtail
185,Long orange peel studded with cloves
186,Lemon twist
187,Coconut flakes
188,Lemon Wheel
189,Grapefruit twist
190,Pineapple Leaf
191,Lime Wheels
192,Rhubarb Bitters
193,Sage
194,Apple Slice
195,Citrus Wheels
196,Lemon Twist
197,Sliced Fig
198,Grapefruit spiral
199,Arugula
200,Bow Tie Orange Peel
201,Granny Smith Apple Fan
202,Straw
203,Flamed lemon peel
204,3 Cherries Picked 
205,Angostura Bitters
206,Lime Zest
207,Brown sugar rim
208,Apple Slices
209,Infused Olive & Cherry
210,Blood Orange Skin
211,Fresh Grated Nutmeg
212,Grapefruit peel
213,Edible Flowers
214,Lemon Swath
215,2 Pear slices
216,Turmeric Toasted Coconut Flakes
217,Fresh cherry
218,Channeled lemon wheel
219,Marshmallow
220,Cherry Tree Blossom
221,Cardamom Sugar
222,Grilled Pineapple Wedge
223,Mint Sprigs
224,Celery Leaf
225,Cocktail Shrimp
226,Aged Kaffir Lime Zest
227,Olive
228,Cocktail Onions
229,Dried peach
230,Orange peel
231,Orange or Lemon Peel
232,Long Grapefruit Peel
233,Luxardo Cherries
234,Ground pistachios
235,Celery Stalk
236,Rosemary
237,Fresh Orange Wheels
238,Small grind of black pepper
239,Pineapple
240,Lime Pinwheel
241,Lemon wheels
242,Flamed Orange Twist
243,Thai chili piece
244,Small Rose
245,shaved
246,Lemon wheel
247,Dehydrated Grapefruit Wheel
248,Dried Apricot
249,Salted starfruit
250,Banana Chip
251,Carrot Ribbon
252,Blueberries
253,Apple slice
254,(see instructions)
255,Cucumber Peel
256,Cucumber
257,Orange Peel Zest
258,Mint Oil
259,Orange Wedge
260,Dehydrated Orange
261,Lime Peel
262,Lotus root
263,Apple
264,Lime
265,Lemon or Orange Peel
266,Seaweed
267,Fresh watermelon
268,Chapuline
269,Lemon verbana
270,Pomegranate seeds
271,Cherry
272,Orange twist
273,Lime Wheel
274,Torched Cinnamon Stick
275,Pinch bergamot tea leaves
276,Orange coin studded with 2 cloves
277,Juniper Berries
278,Orange Twist
279,Cucumber wheels
280,Lemon Wedge
281,Edible flower
282,Dill
283,Orange Zest
284,Kaffir lime leaf (cut lengthwise)
285,Mint sprig
286,Orange Wheel
287,Brandied Cherries
288,Rose Petal
289,Xoconostle
290,Mint Leaves
291,Pomegranate Seeds
292,Orange slices
293,Orange Peel
294,Mint sprigs
295,Fresh Root Ginger Slice
296,Lime wheel
297,Fresh Nutmeg
298,Cherry Flag
299,Lemon Peel Rind
300,Cinnamon (Grated)
301,Lovage Sprig
302,Dehydrated Orange Wheel
303,Lemon Peel Twist
304,Orange Slice
305,Meyer lemon zest/twist
306,Birch Smoked Sea Salt Rim
307,Dehydrated Lemon Wheel
308,Blood orange slice
309,Pineapple Chunks
310,Dried Ancho Chiles
311,Assorted Complementing Botanicals
312,Sliced Peaches
313,Grapfruit peel
314,lime wheel
315,Torched rosemary sprig
316,Dukes Lemon Zest
