iClassificationId,ingredientId,ingredientTypeId
0,0,28
1,1,22
2,2,0
3,3,5
4,4,30
5,5,22
6,6,0
7,7,34
8,8,3
9,9,16
10,11,39
11,12,0
12,13,0
13,14,16
14,15,32
15,16,39
16,17,3
17,19,0
18,20,24
19,21,2
20,22,19
21,23,39
22,24,16
23,25,16
24,26,16
25,27,30
26,28,22
27,29,10
28,30,0
29,31,24
30,32,15
31,33,5
32,34,33
33,35,0
34,36,34
35,37,0
36,38,21
37,39,18
38,40,10
39,41,0
40,42,22
41,43,12
42,44,17
43,45,2
44,46,2
45,47,0
46,48,37
47,49,10
48,50,5
49,51,22
50,52,38
51,53,10
52,54,30
53,55,19
54,56,0
55,57,22
56,58,16
57,59,28
58,60,2
59,61,16
60,62,5
61,63,30
62,64,0
63,65,34
64,66,10
65,67,0
66,68,5
67,69,2
68,70,34
69,71,10
70,72,0
71,73,5
72,74,30
73,75,0
74,76,0
75,77,2
76,78,2
77,79,30
78,80,34
79,81,0
80,82,16
81,83,36
82,84,36
83,85,36
84,86,16
85,87,10
86,88,17
87,89,0
88,90,22
89,91,16
90,92,10
91,93,34
92,94,0
93,95,30
94,96,3
95,97,0
96,98,22
97,99,16
98,101,10
99,102,16
100,103,32
101,104,0
102,105,36
103,106,2
104,107,23
105,108,0
106,109,0
107,110,16
108,111,30
109,112,0
110,113,10
111,114,22
112,115,4
113,116,36
114,117,2
115,118,0
116,119,22
117,120,34
118,121,10
119,122,34
120,123,12
121,124,33
122,125,10
123,126,22
124,127,16
125,128,32
126,129,3
127,130,2
128,131,16
129,132,2
130,133,0
131,134,0
132,135,22
133,136,13
134,137,16
135,138,3
136,139,36
137,140,16
138,141,19
139,142,17
140,144,34
141,145,0
142,146,0
143,147,30
144,148,10
145,149,2
146,150,16
147,151,2
148,152,33
149,153,0
150,154,0
151,155,21
152,156,16
153,157,30
154,158,18
155,159,15
156,160,0
157,161,22
158,162,16
159,163,16
160,164,10
161,165,0
162,166,22
163,167,2
164,168,34
165,169,38
166,170,25
167,171,30
168,172,10
169,173,16
170,174,0
171,175,21
172,176,22
173,177,32
174,178,10
175,179,34
176,180,0
177,181,16
178,182,16
179,183,39
180,184,0
181,185,0
182,186,22
183,187,2
184,188,38
185,189,34
186,190,22
187,191,30
188,192,2
189,193,10
190,194,33
191,195,10
192,196,16
193,197,30
194,198,34
195,199,34
196,200,30
197,201,3
198,203,2
199,204,30
200,206,2
201,207,33
202,208,2
203,209,22
204,210,16
205,211,24
206,212,36
207,213,0
208,214,34
209,215,2
210,216,24
211,217,28
212,218,2
213,219,2
214,220,0
215,221,17
216,222,16
217,223,0
218,224,22
219,225,21
220,226,17
221,227,32
222,228,2
223,229,16
224,230,16
225,231,36
226,232,16
227,233,12
228,234,36
229,235,0
230,236,22
231,237,5
232,238,32
233,239,30
234,240,0
235,241,2
236,242,2
237,243,5
238,244,2
239,245,2
240,246,32
241,247,0
242,248,30
243,249,10
244,250,0
245,251,22
246,252,5
247,253,32
248,254,0
249,255,12
250,256,5
251,257,22
252,258,2
253,259,6
254,260,30
255,261,5
256,263,3
257,264,0
258,265,16
259,266,12
260,267,38
261,268,37
262,269,38
263,270,3
264,271,2
265,272,0
266,273,5
267,274,17
268,275,30
269,276,3
270,277,16
271,278,5
272,279,34
273,280,37
274,281,17
275,282,12
276,283,0
277,284,22
278,285,23
279,286,15
280,287,10
281,288,10
282,289,18
283,290,0
284,291,12
285,292,34
286,293,3
287,294,11
288,296,39
289,297,3
290,298,16
291,299,23
292,300,23
293,301,3
294,302,34
295,303,3
296,304,2
297,305,38
298,306,22
299,307,0
300,308,5
301,309,33
302,310,10
303,311,22
304,312,25
305,313,16
306,314,36
307,315,37
308,317,36
309,318,11
310,319,0
311,320,6
312,321,22
313,322,16
314,323,30
315,324,10
316,325,0
317,326,5
318,327,5
319,328,30
320,329,3
321,330,3
322,331,16
323,332,24
324,333,16
325,334,30
326,335,3
327,336,2
328,337,16
329,338,36
330,339,11
331,340,0
332,341,23
333,342,2
334,343,10
335,344,0
336,345,22
337,346,5
338,347,5
339,348,30
340,349,34
341,350,16
342,351,0
343,352,11
344,353,36
345,354,10
346,355,0
347,356,22
348,357,37
349,358,16
350,359,3
351,360,30
352,361,3
353,362,10
354,363,34
355,364,0
356,365,36
357,366,22
358,367,5
359,368,0
360,369,12
361,370,33
362,371,34
363,372,6
364,373,34
365,374,5
366,375,16
367,376,30
368,377,38
369,378,16
370,379,6
371,380,39
372,381,10
373,382,0
374,383,22
375,384,16
376,385,12
377,386,17
378,387,0
379,388,2
380,389,16
381,390,33
382,391,16
383,392,35
384,393,2
385,394,16
386,395,10
387,396,34
388,397,0
389,398,22
390,399,10
391,400,16
392,401,36
393,402,0
394,403,5
395,404,32
396,405,3
397,406,16
398,407,22
399,408,32
400,409,22
401,410,5
402,411,16
403,412,33
404,414,5
405,415,2
406,416,0
407,417,5
408,418,2
409,419,37
410,420,5
411,421,16
412,422,39
413,423,5
414,424,2
415,425,22
416,426,38
417,427,5
418,428,30
419,429,2
420,430,3
421,431,33
422,432,10
423,433,0
424,434,0
425,435,5
426,436,16
427,437,17
428,438,30
429,439,0
430,440,38
431,441,16
432,442,28
433,443,10
434,444,0
435,445,12
436,446,22
437,447,33
438,448,16
439,449,10
440,450,5
441,451,36
442,452,2
443,453,2
444,454,0
445,455,0
446,456,17
447,457,10
448,458,38
449,459,0
450,460,0
451,461,38
452,462,21
453,463,31
454,464,2
455,465,11
456,466,16
457,467,17
458,468,3
459,469,10
460,470,23
461,471,2
462,472,31
463,473,10
464,474,0
465,475,22
466,476,21
467,477,12
468,478,16
469,479,30
470,480,2
471,481,16
472,482,10
473,483,30
