,word,categories
0,#2,[]
1,&,[]
2,'elemakule,[]
3,'la,[]
4,'layered',[]
5,1,[]
6,1.5,[]
7,1/2,[]
8,10,[]
9,101,[]
10,12,[]
11,15,[]
12,151,[]
13,1814,[]
14,1:1,[]
15,2,[]
16,20,[]
17,2016,[]
18,209,[]
19,23,[]
20,27,[]
21,2:1,[]
22,43,[]
23,5,[]
24,6,[]
25,7-spice,[]
26,:,[]
27,a,[]
28,abano,[]
29,abbott's,[]
30,abita,[]
31,abricot,[]
32,absinthe,['absinthe']
33,absolut,['vodka']
34,acacia,['herbal']
35,acholado,['wine']
36,acid,['sour']
37,activated,[]
38,adam's,[]
39,agave,['fruit']
40,aged,[]
41,agricole,[]
42,agricole-style,[]
43,alba,[]
44,alchemist,[]
45,ale,['beer']
46,alessio,[]
47,allspice,['spice']
48,almond,['nut']
49,alpina,[]
50,alvear,[]
51,amalfi,[]
52,amarena,[]
53,amaretto,['liqueur']
54,amargo,[]
55,amaro,['bitters']
56,ambre,[]
57,amburana,[]
58,amer,[]
59,american,[]
60,americano,"['wine', 'herbal']"
61,amontillado,[]
62,amor,[]
63,an,[]
64,ancho,['spicy']
65,anchor,[]
66,and,[]
67,anejo,[]
68,angeleno,[]
69,angioletto,[]
70,angostura,['bitters']
71,anis,[]
72,anise,['spice']
73,anisette,[]
74,antica,[]
75,antonio,[]
76,aperitif,[]
77,aperitivo,['liqueur']
78,aperol,['bitters']
79,apple,['fruit']
80,apple-infused,[]
81,applejack,[]
82,apricot,['fruit']
83,apricot-infused,[]
84,aquavit,[]
85,ardbeg,[]
86,aromatic,['herbal']
87,arrack,[]
88,as,[]
89,assorted,[]
90,atomized,[]
91,australian,[]
92,averna,[]
93,aviation,[]
94,avua,[]
95,avuá,[]
96,aztec,[]
97,b,[]
98,b.g.,[]
99,bacardi,['rum']
100,back,[]
101,bag,[]
102,baked,[]
103,balsamic,[]
104,banana,['fruit']
105,banane,[]
106,banfi,[]
107,banks,[]
108,bar,[]
109,bark,[]
110,barley,['grain']
111,barolo,[]
112,barr,[]
113,barrel,[]
114,barsol,[]
115,basic,[]
116,basil,['herbal']
117,basil-infused,[]
118,batavia,[]
119,batch,[]
120,bay,[]
121,bean,[]
122,beans,[]
123,beer,['beer']
124,beet,['fruit']
125,bell,[]
126,belle,[]
127,belstar,[]
128,benedictine,['liqueur']
129,benriach,[]
130,bergamot,[]
131,berries,['fruit']
132,berry,['fruit']
133,bianco,[]
134,big,[]
135,bin,[]
136,bittahs,['bitters']
137,bitter,['bitters']
138,bittercube,[]
139,bittermens,[]
140,bitters,[]
141,black,[]
142,blackberries,[]
