tConst,title,year,rating,votes
tt0000009,Miss Jerry,1894,5.4,86.0
tt0000574,The Story of the Kelly Gang,1906,6.1,555.0
tt0001184,Don Juan de Serrallonga,1910,3.1,11.0
tt0001812,Oedipus Rex,1911,5.8,6.0
tt0001911,Nell Gwynne,1911,4.1,7.0
tt0002026,Anny - Story of a Prostitute,1912,4.0,7.0
tt0002130,Dante's Inferno,1911,7.0,2070.0
tt0002186,The Flying Circus,1912,6.3,79.0
tt0002423,Passion,1919,6.8,723.0
tt0002452,The Independence of Romania,1912,6.6,194.0
tt0002514,Saved in Mid-Air,1912,5.9,7.0
tt0002628,Der Andere,1913,5.8,64.0
tt0002767,The Count of Monte Cristo,1913,5.6,37.0
tt0002832,Evangeline,1914,7.0,11.0
tt0002885,From Dusk to Dawn,1913,6.0,88.0
tt0003014,Ingeborg Holm,1913,7.1,900.0
tt0003015,Die Insel der Seligen,1913,4.5,38.0
tt0003131,War Is Hell,1914,6.7,116.0
tt0003165,Fantômas: The Dead Man Who Killed,1913,7.0,1009.0
tt0003241,One Hundred Years of Mormonism,1913,4.6,8.0
tt0003362,The Sea Wolf,1913,5.2,11.0
tt0003419,The Student of Prague,1913,6.5,1678.0
tt0003489,The Last Days of Pompeii,1913,6.2,463.0
tt0003637,Assunta Spina,1915,6.5,363.0
tt0003657,The Bargain,1914,6.6,128.0
tt0003668,Beating Back,1914,5.7,11.0
tt0003675,The Beloved Adventurer,1914,6.5,10.0
tt0003731,Burning Daylight: The Adventures of 'Burning Daylight' in Alaska,1914,4.8,10.0
tt0003772,Cinderella,1914,6.1,918.0
tt0003854,Dodge City Trail,1936,3.7,19.0
tt0003884,Engelein,1914,6.8,72.0
tt0003930,Fantomas: The Mysterious Finger Print,1914,6.9,1122.0
tt0003973,A Florida Enchantment,1914,5.9,184.0
tt0004022,Julius Caesar,1914,6.3,38.0
tt0004027,A Good Little Devil,1914,5.9,10.0
tt0004066,Sealed Orders,1914,7.0,462.0
tt0004121,Der Hund von Baskerville,1914,5.3,52.0
tt0004150,In the Land of the Head Hunters,1914,5.8,384.0
tt0004167,Jane Eyre,1914,6.6,7.0
tt0004181,Judith of Bethulia,1914,6.2,1203.0
tt0004272,Lucille Love: The Girl of Mystery,1914,5.9,8.0
tt0004313,The Master Key,1914,4.9,11.0
tt0004387,Down with Weapons,1914,5.6,19.0
tt0004391,Neptune's Daughter,1914,6.1,27.0
tt0004465,The Perils of Pauline,1914,6.4,925.0
tt0004555,Salomy Jane,1914,6.1,35.0
tt0004593,The Sign of the Cross,1914,6.2,31.0
tt0004635,The Squaw Man,1914,5.8,847.0
