mCategoryId,tConst,genreId
0,tt0000009,0
1,tt0000574,1
2,tt0000574,2
3,tt0000574,3
4,tt0001184,4
5,tt0001184,3
6,tt0001285,1
7,tt0001285,3
8,tt0001285,5
9,tt0001812,3
10,tt0001911,1
11,tt0001911,3
12,tt0001911,6
13,tt0002026,3
14,tt0002026,0
15,tt0002130,4
16,tt0002130,3
17,tt0002130,7
18,tt0002186,3
19,tt0002423,1
20,tt0002423,3
21,tt0002423,0
22,tt0002452,6
23,tt0002452,8
24,tt0002514,3
25,tt0002628,3
26,tt0002628,9
27,tt0002767,3
28,tt0002767,6
29,tt0002832,3
30,tt0002885,3
31,tt0002917,3
32,tt0002973,10
33,tt0003014,3
34,tt0003015,11
35,tt0003015,7
36,tt0003037,2
37,tt0003037,3
38,tt0003131,3
39,tt0003131,8
40,tt0003165,2
41,tt0003165,3
42,tt0003165,12
43,tt0003241,3
44,tt0003241,6
45,tt0003362,3
46,tt0003419,3
47,tt0003419,7
48,tt0003419,13
49,tt0003489,4
50,tt0003489,3
51,tt0003637,3
52,tt0003657,14
53,tt0003668,4
54,tt0003668,1
55,tt0003668,14
56,tt0003675,4
57,tt0003731,4
58,tt0003731,3
59,tt0003772,3
60,tt0003772,7
61,tt0003854,4
62,tt0003854,15
63,tt0003854,14
64,tt0003884,11
65,tt0003930,2
66,tt0003930,3
67,tt0003973,11
68,tt0004022,3
69,tt0004022,6
70,tt0004027,3
71,tt0004066,3
72,tt0004066,12
73,tt0004121,2
74,tt0004121,13
75,tt0004121,12
76,tt0004150,3
77,tt0004150,6
78,tt0004167,3
79,tt0004181,3
80,tt0004272,16
81,tt0004313,16
82,tt0004313,4
83,tt0004313,3
84,tt0004387,3
85,tt0004387,8
86,tt0004391,7
87,tt0004465,16
88,tt0004465,4
89,tt0004465,3
90,tt0004555,14
91,tt0004593,3
92,tt0004635,16
93,tt0004635,3
94,tt0004635,0
95,tt0004707,11
96,tt0004727,4
97,tt0004743,3
98,tt0004825,11
99,tt0004825,3
100,tt0004838,3
101,tt0004838,0
102,tt0004872,2
103,tt0004872,3
104,tt0004873,4
105,tt0004873,5
106,tt0004873,7
107,tt0004942,3
108,tt0004974,3
109,tt0004974,17
110,tt0005041,3
111,tt0005060,3
112,tt0005078,3
113,tt0005078,0
114,tt0005087,11
115,tt0005087,14
116,tt0005160,3
117,tt0005172,3
118,tt0005180,3
119,tt0005200,14
120,tt0005214,11
121,tt0005214,0
122,tt0005250,3
123,tt0005339,3
124,tt0005381,3
125,tt0005402,3
126,tt0005522,4
127,tt0005522,11
128,tt0005535,3
129,tt0005557,3
130,tt0005579,3
131,tt0005592,3
132,tt0005592,0
133,tt0005613,3
134,tt0005621,3
135,tt0005680,4
136,tt0005683,3
137,tt0005746,4
138,tt0005746,3
139,tt0005746,12
140,tt0005811,11
141,tt0005831,10
142,tt0005831,8
143,tt0005832,4
144,tt0005832,0
145,tt0005832,14
146,tt0005901,3
147,tt0005916,3
148,tt0005945,3
149,tt0005955,1
150,tt0005955,3
151,tt0006008,3
152,tt0006128,3
153,tt0006182,3
154,tt0006204,3
155,tt0006243,3
156,tt0006243,8
157,tt0006283,3
158,tt0006327,11
159,tt0006339,16
160,tt0006339,3
161,tt0006357,4
162,tt0006357,11
163,tt0006357,3
164,tt0006358,3
165,tt0006359,4
166,tt0006359,11
167,tt0006359,0
168,tt0006386,3
169,tt0006405,10
170,tt0006405,8
171,tt0006419,3
172,tt0006437,3
173,tt0006481,3
174,tt0006481,0
175,tt0006482,3
176,tt0006505,3
177,tt0006509,3
178,tt0006517,3
179,tt0006564,4
180,tt0006564,3
181,tt0006570,16
182,tt0006570,1
183,tt0006570,14
184,tt0006589,3
185,tt0006614,3
186,tt0006614,6
187,tt0006614,0
188,tt0006621,3
189,tt0006641,3
190,tt0006688,4
191,tt0006688,11
192,tt0006731,2
193,tt0006731,3
194,tt0006745,2
195,tt0006745,3
196,tt0006745,0
197,tt0006761,3
198,tt0006773,3
199,tt0006773,8
200,tt0006809,11
201,tt0006820,13
202,tt0006820,17
203,tt0006861,3
204,tt0006886,4
205,tt0006886,2
206,tt0006914,3
207,tt0006932,3
208,tt0006943,11
209,tt0006997,16
210,tt0006997,3
211,tt0006997,8
212,tt0007034,3
213,tt0007047,11
214,tt0007047,0
215,tt0007100,3
216,tt0007100,9
217,tt0007116,3
218,tt0007117,4
219,tt0007118,11
220,tt0007118,0
221,tt0007160,14
222,tt0007183,3
223,tt0007183,7
224,tt0007183,13
225,tt0007202,3
226,tt0007257,16
227,tt0007257,11
228,tt0007257,3
229,tt0007263,3
230,tt0007263,7
231,tt0007272,3
232,tt0007272,0
233,tt0007338,12
234,tt0007353,4
235,tt0007353,3
236,tt0007353,14
237,tt0007367,11
238,tt0007367,3
239,tt0007368,3
240,tt0007368,0
241,tt0007410,11
242,tt0007454,4
243,tt0007462,4
244,tt0007462,3
245,tt0007498,4
246,tt0007498,3
247,tt0007516,3
248,tt0007516,6
249,tt0007539,3
250,tt0007539,0
251,tt0007539,8
252,tt0007590,3
253,tt0007614,3
254,tt0007618,4
255,tt0007646,18
256,tt0007646,11
257,tt0007646,3
258,tt0007678,3
259,tt0007698,1
260,tt0007698,3
261,tt0007698,0
262,tt0007699,11
263,tt0007699,0
264,tt0007755,14
265,tt0007801,1
266,tt0007801,3
267,tt0007801,6
268,tt0007834,0
269,tt0007873,11
270,tt0007873,0
271,tt0007927,1
272,tt0007927,3
273,tt0007927,6
274,tt0007983,13
275,tt0007992,3
276,tt0008011,11
277,tt0008029,3
278,tt0008041,3
279,tt0008091,4
280,tt0008091,0
281,tt0008100,4
282,tt0008100,7
283,tt0008100,17
284,tt0008134,11
285,tt0008150,4
286,tt0008150,3
287,tt0008150,6
288,tt0008151,14
289,tt0008188,3
290,tt0008188,0
291,tt0008188,8
292,tt0008241,3
293,tt0008241,6
294,tt0008259,3
295,tt0008271,14
296,tt0008305,3
297,tt0008319,3
298,tt0008319,6
299,tt0008319,14
300,tt0008353,16
301,tt0008353,4
302,tt0008361,16
303,tt0008361,4
304,tt0008361,3
305,tt0008362,14
306,tt0008374,3
307,tt0008389,11
308,tt0008389,3
309,tt0008411,16
310,tt0008411,3
311,tt0008443,11
312,tt0008443,3
313,tt0008443,5
314,tt0008489,4
315,tt0008489,2
316,tt0008489,0
317,tt0008498,4
318,tt0008499,11
319,tt0008499,3
320,tt0008535,3
321,tt0008535,0
