trait_name,trait_mag,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
Openness,100,25,50,100,100,0,100,25,75,75,25,100,0,100,0,75,100,100,100,0,100,75,100,100,0,100,100,0,0
Openness,0,75,50,0,0,100,0,100,25,75,100,0,100,50,100,75,25,25,0,100,0,50,0,0,100,50,50,100,100
Conscientiousness,100,25,50,25,50,100,0,100,100,25,100,0,50,100,100,75,100,100,100,100,0,75,50,0,25,100,25,75,0
Conscientiousness,0,75,50,100,75,0,100,50,0,100,0,100,50,0,25,100,75,75,0,0,100,25,50,100,100,0,100,75,100
Extraversion,100,75,50,100,50,100,75,75,25,100,100,50,50,100,75,25,100,100,50,0,100,100,50,50,50,100,50,75,75
Extraversion,0,25,50,0,100,75,75,100,100,25,100,50,50,50,50,75,50,0,50,100,0,0,50,50,50,0,50,25,75
Agreeableness,100,50,50,75,50,100,100,0,100,100,100,50,75,25,100,0,50,100,100,100,100,100,50,50,75,100,100,0,50
Agreeableness,0,100,50,25,50,0,0,100,0,0,0,50,100,100,50,100,50,0,50,0,0,0,50,50,100,0,50,100,100
Neuroticism,100,0,50,0,100,25,100,0,100,0,100,50,50,0,25,0,100,100,0,0,0,100,50,50,25,50,0,0,0
Neuroticism,0,100,50,100,0,100,50,100,50,75,0,50,50,100,100,100,25,0,100,100,75,0,50,50,100,50,100,100,100
