,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,genreId,BinProb
0,2.0,70.0,66.0,2.0,42.0,11.0,5
36654,54.0,26.0,48.0,26.0,94.0,11.0,15
1,2.0,70.0,66.0,2.0,42.0,11.0,5
69464,34.0,48.0,88.0,50.0,74.0,11.0,14
2,2.0,70.0,66.0,2.0,42.0,14.0,15
3,2.0,70.0,66.0,2.0,42.0,10.0,3
6206,0.0,20.0,22.0,42.0,88.0,10.0,7
4,2.0,70.0,66.0,2.0,42.0,3.0,5
44241,14.0,40.0,66.0,22.0,72.0,3.0,7
5,2.0,70.0,66.0,2.0,42.0,10.0,3
6,2.0,70.0,66.0,2.0,42.0,3.0,5
7,2.0,70.0,66.0,2.0,42.0,9.0,6
8,2.0,70.0,66.0,2.0,42.0,3.0,5
9,2.0,70.0,66.0,2.0,42.0,10.0,3
10,2.0,70.0,66.0,2.0,42.0,6.0,15
37815,28.0,16.0,82.0,34.0,0.0,10.0,0
37822,28.0,16.0,82.0,34.0,0.0,6.0,14
11,2.0,70.0,66.0,2.0,42.0,10.0,3
12,2.0,70.0,66.0,2.0,42.0,19.0,4
13,2.0,70.0,66.0,2.0,42.0,11.0,5
14,2.0,70.0,66.0,2.0,42.0,3.0,5
15,2.0,70.0,66.0,2.0,42.0,0.0,3
39826,86.0,6.0,60.0,40.0,74.0,0.0,8
39827,86.0,6.0,60.0,40.0,74.0,3.0,10
16,2.0,70.0,66.0,2.0,42.0,9.0,6
17,2.0,70.0,66.0,2.0,42.0,4.0,1
30,2.0,70.0,66.0,2.0,42.0,3.0,5
22934,10.0,34.0,14.0,50.0,54.0,9.0,10
22935,10.0,34.0,14.0,50.0,54.0,4.0,1
22936,10.0,34.0,14.0,50.0,54.0,3.0,7
18,2.0,70.0,66.0,2.0,42.0,2.0,19
19,2.0,70.0,66.0,2.0,42.0,3.0,5
20,2.0,70.0,66.0,2.0,42.0,0.0,3
12944,54.0,54.0,52.0,72.0,68.0,0.0,11
21,2.0,70.0,66.0,2.0,42.0,0.0,3
38,2.0,70.0,66.0,2.0,42.0,16.0,12
39,2.0,70.0,66.0,2.0,42.0,11.0,5
22,2.0,70.0,66.0,2.0,42.0,4.0,1
